	1/2 sg/pl Perfect	1/2 sg/pl Present	1/2 sg/pl Subjunctive	3 pl [+hum] Perfect	3 pl [+hum] Present	3 pl [+hum] Subjunctive	3 pl [-hum] Perfect	3 pl [-hum] Present	3 pl [-hum] Subjunctive	3 sg Perfect	3 sg Present	3 sg Subjunctive
"I,1a"	LHò	LHèl	LHo	LHùl	LHèl-à/ì	LHòl	HHùl	HHèl-à/ì	HHòl	HHò	HHèl	HHo
"I,1b"	LHò	LF_	LHo	LHùl	LHè	LHòl	HHùl	HHè	HHòl	HHò	HF_	HHo
"I,1c"	LHò	LHì	LHo	LHùl	LHè	LHòl	HHùl	HHè	HHòl	HHò	HHì	HHo
"I,2a"	HHo	HHèl	HHò	HHùl	HHèl-à/ì	HHòl	LLùl	LLèl-à/ì	LLòl	LLò	LLèl	LLo
"I,2b"	HHo	HF_	HHò	HHùl	HHè	HHòl	LLùl	LLè	LLòl	LLò	LL_	LLo
"I,2c"	HHo	HHì	HHò	HHùl	HHè	HHòl	LLùl	LLè	LLòl	LLò	LLì	LLo
"II,1a"	LHi	LHitì	LHi	LHi-è	LHiti-A(l)	LHi-A(l)	HHi-è	HHiti-A(l)	HHi-A(l)	HHi	HHitì	HHi
"II,1b"	LHi	LF_	LHi	LHi-è	LHè	LHi-A(l)	HHi-è	HHè	HHi-A(l)	HHi	HF_	HHi
"II,2a"	HHì	HHitì	HHì	HHi-è	HHiti-A(l)	HHi-A(l)	LLi-è	LLiti-A(l)	LLi-A(l)	LLi	LLitì	LLi
"II,2b"	HHì	HF_	HHì	HHi-è	HHè	HHi-A(l)	LLi-è	LLè	LLi-A(l)	LLi	LF_	LLi
IIIa	HHà	HHèl	HHì	HHe	HHèl-à	HHè	LHe	LHèl-à	LHè	LHà	LHèl	LHì
IIIb	HHò	HHèl	HHò	HHe	HHèl-à	HHè	LHe	LHèl-à	LHè	LHò	LHèl	LHò
IIIc	HHò	HHèl	HHò	HHe	HHèl-à	HHè	LHe	LHèl-à	LHè	LHò	LHèl	LF_
IIId	HHà	HHèl	HF_	HHe	HHèl-à	HHè	LHe	LHèl-à	LHè	LHà	LHèl	LF_
IIIe	HHà	HHèl	HF_	HHe	HHèl-à	HHè	LHe	LHèl-à	LHè	LHò	LHèl	LF_
IVa	HHò	HHèl	HF_	HHe	HHèl-à	HHAl	LHe	LHèl-à	LHAl	LHò	LHèl	LF_
IVb	HHò	HHèl	HHò	HHe	HHèl-à	HHAl	LHe	LHèl-à	LHAl	LHò	LHèl	LHò
IVc	HHà	HHèl	HF_	HHe	HHèl-à	HHAl	LHe	LHèl-à	LHAl	LHà	LHèl	LF_
IVd	HHà	HHèl	HHà	HHe	HHèl-à	HHAl	LHe	LHèl-à	LHAl	LHà	LHèl	LHà
