	1sg	2sg	3	1incl	1pl	2pl
1	a/1-1/tsi	e/2-2/ni_	a/(2-2)/tsi	a_/2-2/ni_	i_/2-24/ni_	u_/2-2/ni_
2	a/3-1/tsi	e/3-1/ni_	a/(3-1)/tsi	a_/3-31/ni_	i_/3-14/ni_	u_/3-1/ni_
3	æ/1-1/tsi	i/2-2/ni_	i/(2-2)/tsi	e_/2-2/ni_	i_/2-24/ni_	u_/2-2/ni_
4	u/1-1/tsi	i/2-2/ni_	u/(2-2)/tsi	u_/2-2/ni_	i_/2-24/ni_	u_/2-2/ni_
5	a/1-1/bi	e/2-2/bi	a/(2-2)/bi	a_/2-2/bi	i_/2-24/bi	u_/2-2/bi
6	a/3-1/bi	e/2-2/bi	a/(3-2)/bi	a_/2-2/bi	i_/2-24/bi	u_/2-2/bi
7	u/3-1/tsi	i/3-1/ni_	u/(3-1)/tsi	u_/3-31/ni_	i_/3-14/ni_	u_/3-1/ni_
8	æ/1-1/tsi	e/2-2/ni_	e/(2-2)/tsi	e_/2-2/ni_	i_/2-24/ni_	u_/2-2/ni_
9	o/3-1/tsi	e/2-2/ni_	o/(3-2)/tsi	o_/2-2/ni_	i_/2-24/ni_	u_/2-2/ni_
10	e_/1-43/bi	i_/1-43/bi	e_/(3-24)/bi	e_/14-42/bi	i_/14-34/bi	u_/14-3/bi
11	æ/3-1/tsi	i/3-1/ni_	i/(3-1)/tsi	e_/3-31/ni_	i_/3-14/ni_	u_/3-1/ni_
12	æ/1-1/tsi	e/2-2/ni_	æ/(2-2)/tsi	e_/2-2/ni_	i_/2-24/ni_	u_/2-2/ni_
13	a/1-43/tsi	e/1-43/ni_	a/(3-24)/tsi	a_/14-42/ni_	i_/14-34/ni_	u_/14-3/ni_
14	e_/1-43/tsi	i_/1-43/ni_	e_/(3-24)/tsi	e_/14-42/ni_	i_/14-34/ni_	u_/14-3/ni_
15	u/1-43/tsi	i/1-43/ni_	u/(3-24)/tsi	u_/14-42/ni_	i_/14-34/ni_	u_/14-3/ni_
16	e_/3-1/bu	i_/3-1/c_u	e_/(3-1)/bu	e_/3-31/c_u	i_/3-14/c_u	u_/3-1/c_u
17	æ/3-1/tsi	e/3-1/ni_	æ/(3-1)/tsi	e_/3-31/ni_	i_/3-14/ni_	u_/3-1/ni_
18	u_/1-1/tsi	i_/2-2/ni_	u_/(2-2)/tsi	u_/2-2/ni_	i_/2-24/ni_	u_/2-2/ni_
19	æ/3-1/bi	e/3-1/bi	e/(3-1)/bi	e_/3-31/bi	i_/3-14/bi	u_/3-1/bi
20	a/1-1/be	e/2-2/be	a/(2-2)/be	a_/2-2/be	i_/2-24/be	u_/2-2/be
21	u/1-43/be	i/1-43/be	u/(3-24)/be	u_/14-42/be	i_/14-34/be	u_/14-3/be
22	a/1-1/ba	e/2-2/ba	a/(2-2)/ba	a_/2-2/ba	i_/2-24/ba	u_/2-2/ba
