	imp pl	imp sing	imperf dist fut	imperf near fut	imperf past cond	imperf past cont	imperf past hab	infinitive	nom1	nom2	perf indef past	perf nar past	perf pres	perf rec past	perf rem past	subj
v1a	aL	aL	aL	aL	aL	aL	aH	aL	aL	aL	aL	aL	aL	aL	aL	aL
v1b	oL	oL	oH	oH	oL	oL	oH	oL	oL	oL	oL	oL	oL	oL	oL	oH
v2a.itr	aM	aM	aM	aM	aL	aM	aH	aM	aM	aM	aL	aM	aL	aL	aL	aM
v2a.tr	aM	aM	aM	aM	aL	aM	aH	aM	aM	aL	aL	aM	aL	aL	aL	aM
v2b.itr	oM	oM	oM	oM	oL	oL	oH	oM	oM	oM	oL	oL	oL	oL	oL	oM
v2b.tr	oM	oM	oM	oM	oL	oL	oH	oM	oM	oL	oL	oL	oL	oL	oL	oM
v3.itr	aM	aLM	aL	aL	aL	aL	aH	aM	aM	aM	aM	aL	aM	aM	aM	aL
v3.tr	aM	aLM	aM	aM	aL	aM	aH	aM	aLM	aM	aM	aM	aM	aM	aM	aM
v4.itr	aLM	aLM	aH	aH	aL	aH	aH	aH	aLM	aLM	aLM	aH	aLM	aLM	aLM	aH
v4.tr	aLM	aLM	aH	aH	aL	aH	aH	aH	aLM	aM	aLM	aH	aLM	aLM	aLM	aH
